retyr,popID,forecast,model,age,obs
2020,Early Stuart,25917,LLY,all,16000
2020,Early Stuart,17836,R1C,all,16000
2020,Early Stuart,100889.5,R2C,all,16000
2020,Early Stuart,116725.75,RAC,all,16000
2020,Early Stuart,287340.6406,TSA,all,16000
2020,Early Stuart,45533.93237,RS1,all,16000
2020,Early Stuart,34742.87973,RS2,all,16000
2020,Early Stuart,36926.01391,RSC,all,16000
2020,Early Stuart,35009.24776,MRS,all,16000
2020,Early Stuart,24383.22765,RS4yr,all,16000
2020,Early Stuart,18285.20432,RS8yr,all,16000
2020,Early Stuart,30024.20525,LarkinBasic,all,16000
2020,Early Stuart,30728.19314,LarkinBasicCycAge,all,16000
2020,Early Stuart,32558.99446,PowerBasic,all,16000
2020,Early Stuart,33376.29376,PowerBasicCycAge,all,16000
2020,Early Stuart,18075.88613,PowerChum,all,16000
2020,Early Stuart,11571.61261,PowerPink,all,16000
2020,Early Stuart,11439.31775,PowerSalmon_Total,all,16000
2020,Early Stuart,17739.60966,PowerSockeye,all,16000
2020,Early Stuart,28260.446,RickerBasic,all,16000
2020,Early Stuart,14125.33726,RickerChum,all,16000
2020,Early Stuart,31795.02744,RickerCyc,all,16000
2020,Early Stuart,21127.82,RickerEi,all,16000
2020,Early Stuart,24314.83265,RickerFRDMean,all,16000
2020,Early Stuart,28136.04863,RickerFRDpeak,all,16000
2020,Early Stuart,15598.09976,RickerGOA.SST.Ann,all,16000
2020,Early Stuart,21244.46388,RickerGOA.SST.Sum,all,16000
2020,Early Stuart,22461.49533,RickerGOA.SST.Win,all,16000
2020,Early Stuart,25190.05924,RickerNPGO.Ann,all,16000
2020,Early Stuart,26257.65803,RickerNPGO.Sum,all,16000
2020,Early Stuart,27953.27508,RickerNPGO.Win,all,16000
2020,Early Stuart,22511.04752,RickerPDO,all,16000
2020,Early Stuart,14154.31244,RickerPi,all,16000
2020,Early Stuart,5381.138258,RickerPink,all,16000
2020,Early Stuart,5426.01135,RickerSalmon_Total,all,16000
2020,Early Stuart,13112.66215,RickerSockeye,all,16000
2020,Early Stuart,22826.16095,LLY,4,14571.42857
2020,Early Stuart,15708.89404,R1C,4,14571.42857
2020,Early Stuart,88857.50533,R2C,4,14571.42857
2020,Early Stuart,102805.1378,RAC,4,14571.42857
2020,Early Stuart,253072.6439,TSA,4,14571.42857
2020,Early Stuart,42950.96317,RS1,4,14571.42857
2020,Early Stuart,33101.48741,RS2,4,14571.42857
2020,Early Stuart,31413.76309,RSC,4,14571.42857
2020,Early Stuart,30456.76456,MRS,4,14571.42857
2020,Early Stuart,21836.6831,RS4yr,4,14571.42857
2020,Early Stuart,16392.54873,RS8yr,4,14571.42857
2020,Early Stuart,25061.72372,LarkinBasic,4,14571.42857
2020,Early Stuart,23921.59724,LarkinBasicCycAge,4,14571.42857
2020,Early Stuart,26777.87079,PowerBasic,4,14571.42857
2020,Early Stuart,26094.10481,PowerBasicCycAge,4,14571.42857
2020,Early Stuart,14852.0998,PowerChum,4,14571.42857
2020,Early Stuart,8650.132793,PowerPink,4,14571.42857
2020,Early Stuart,8734.558968,PowerSalmon_Total,4,14571.42857
2020,Early Stuart,15030.58508,PowerSockeye,4,14571.42857
2020,Early Stuart,22816.38297,RickerBasic,4,14571.42857
2020,Early Stuart,11423.62259,RickerChum,4,14571.42857
2020,Early Stuart,24443.87309,RickerCyc,4,14571.42857
2020,Early Stuart,17067.22661,RickerEi,4,14571.42857
2020,Early Stuart,20148.38053,RickerFRDMean,4,14571.42857
2020,Early Stuart,23980.72326,RickerFRDpeak,4,14571.42857
2020,Early Stuart,12123.98294,RickerGOA.SST.Ann,4,14571.42857
2020,Early Stuart,17011.66431,RickerGOA.SST.Sum,4,14571.42857
2020,Early Stuart,18168.74991,RickerGOA.SST.Win,4,14571.42857
2020,Early Stuart,20603.17843,RickerNPGO.Ann,4,14571.42857
2020,Early Stuart,22031.24262,RickerNPGO.Sum,4,14571.42857
2020,Early Stuart,23412.28334,RickerNPGO.Win,4,14571.42857
2020,Early Stuart,19461.56341,RickerPDO,4,14571.42857
2020,Early Stuart,12267.39369,RickerPi,4,14571.42857
2020,Early Stuart,3408.002722,RickerPink,4,14571.42857
2020,Early Stuart,3647.03433,RickerSalmon_Total,4,14571.42857
2020,Early Stuart,10559.19191,RickerSockeye,4,14571.42857
2020,Early Stuart,3090.839046,LLY,5,1428.571429
2020,Early Stuart,2127.105962,R1C,5,1428.571429
2020,Early Stuart,12031.99467,R2C,5,1428.571429
2020,Early Stuart,13920.61217,RAC,5,1428.571429
2020,Early Stuart,34267.99674,TSA,5,1428.571429
2020,Early Stuart,2582.969194,RS1,5,1428.571429
2020,Early Stuart,1641.392315,RS2,5,1428.571429
2020,Early Stuart,5512.250817,RSC,5,1428.571429
2020,Early Stuart,4552.483202,MRS,5,1428.571429
2020,Early Stuart,2546.544552,RS4yr,5,1428.571429
2020,Early Stuart,1892.655589,RS8yr,5,1428.571429
2020,Early Stuart,2758.130568,LarkinBasic,5,1428.571429
2020,Early Stuart,3635.486923,LarkinBasicCycAge,5,1428.571429
2020,Early Stuart,3028.996996,PowerBasic,5,1428.571429
2020,Early Stuart,4269.10452,PowerBasicCycAge,5,1428.571429
2020,Early Stuart,2047.938646,PowerChum,5,1428.571429
2020,Early Stuart,1719.128195,PowerPink,5,1428.571429
2020,Early Stuart,1641.285204,PowerSalmon_Total,5,1428.571429
2020,Early Stuart,1734.992383,PowerSockeye,5,1428.571429
2020,Early Stuart,2428.899398,RickerBasic,5,1428.571429
2020,Early Stuart,1652.854093,RickerChum,5,1428.571429
2020,Early Stuart,3472.314857,RickerCyc,5,1428.571429
2020,Early Stuart,2485.712191,RickerEi,5,1428.571429
2020,Early Stuart,2438.340738,RickerFRDMean,5,1428.571429
2020,Early Stuart,2463.367821,RickerFRDpeak,5,1428.571429
2020,Early Stuart,2168.217616,RickerGOA.SST.Ann,5,1428.571429
2020,Early Stuart,1987.063641,RickerGOA.SST.Sum,5,1428.571429
2020,Early Stuart,2291.17365,RickerGOA.SST.Win,5,1428.571429
2020,Early Stuart,2589.792591,RickerNPGO.Ann,5,1428.571429
2020,Early Stuart,2200.91182,RickerNPGO.Sum,5,1428.571429
2020,Early Stuart,2294.288456,RickerNPGO.Win,5,1428.571429
2020,Early Stuart,1720.664082,RickerPDO,5,1428.571429
2020,Early Stuart,1002.014833,RickerPi,5,1428.571429
2020,Early Stuart,6.88E+02,RickerPink,5,1428.571429
2020,Early Stuart,6.53E+02,RickerSalmon_Total,5,1428.571429
2020,Early Stuart,1376.010287,RickerSockeye,5,1428.571429
2020,Early Stuart,5.39E+02,sibling5,5,1428.571429
2019,Early Stuart,94681,LLY,all,25916.76125
2019,Early Stuart,28728,R1C,all,25916.76125
2019,Early Stuart,26923,R2C,all,25916.76125
2019,Early Stuart,153624.625,RAC,all,25916.76125
2019,Early Stuart,291618.4921,TSA,all,25916.76125
2019,Early Stuart,46066.46104,RS1,all,25916.76125
2019,Early Stuart,29378.56425,RS2,all,25916.76125
2019,Early Stuart,65751.91471,RSC,all,25916.76125
2019,Early Stuart,70593.70128,MRS,all,25916.76125
2019,Early Stuart,35295.2283,RS4yr,all,25916.76125
2019,Early Stuart,28393.1897,RS8yr,all,25916.76125
2019,Early Stuart,51695.98032,LarkinBasic,all,25916.76125
2019,Early Stuart,50724.28683,LarkinBasicCycAge,all,25916.76125
2019,Early Stuart,53613.36046,PowerBasic,all,25916.76125
2019,Early Stuart,50731.40877,PowerBasicCycAge,all,25916.76125
2019,Early Stuart,28905.00551,PowerChum,all,25916.76125
2019,Early Stuart,28935.72899,PowerPink,all,25916.76125
2019,Early Stuart,25745.24546,PowerSalmon_Total,all,25916.76125
2019,Early Stuart,29302.00952,PowerSockeye,all,25916.76125
2019,Early Stuart,45955.84342,RickerBasic,all,25916.76125
2019,Early Stuart,26512.38912,RickerChum,all,25916.76125
2019,Early Stuart,43674.30451,RickerCyc,all,25916.76125
2019,Early Stuart,37726.05769,RickerEi,all,25916.76125
2019,Early Stuart,47898.86534,RickerFRDMean,all,25916.76125
2019,Early Stuart,46143.92912,RickerFRDpeak,all,25916.76125
2019,Early Stuart,35213.11942,RickerGOA.SST.Ann,all,25916.76125
2019,Early Stuart,34954.06027,RickerGOA.SST.Sum,all,25916.76125
2019,Early Stuart,43434.70351,RickerGOA.SST.Win,all,25916.76125
2019,Early Stuart,45589.63364,RickerNPGO.Ann,all,25916.76125
2019,Early Stuart,43562.28961,RickerNPGO.Sum,all,25916.76125
2019,Early Stuart,49697.20692,RickerNPGO.Win,all,25916.76125
2019,Early Stuart,30647.39332,RickerPDO,all,25916.76125
2019,Early Stuart,17374.89973,RickerPi,all,25916.76125
2019,Early Stuart,27613.85525,RickerPink,all,25916.76125
2019,Early Stuart,15858.56754,RickerSalmon_Total,all,25916.76125
2019,Early Stuart,26999.72596,RickerSockeye,all,25916.76125
2019,Early Stuart,77870.65132,LLY,4,3416.741558
2019,Early Stuart,23627.42336,R1C,4,3416.741558
2019,Early Stuart,22142.8961,R2C,4,3416.741558
2019,Early Stuart,126348.9994,RAC,4,3416.741558
2019,Early Stuart,239842.4384,TSA,4,3416.741558
2019,Early Stuart,17813.06023,RS1,4,3416.741558
2019,Early Stuart,11319.61629,RS2,4,3416.741558
2019,Early Stuart,38014.41226,RSC,4,3416.741558
2019,Early Stuart,31395.51864,MRS,4,3416.741558
2019,Early Stuart,17561.86314,RS4yr,4,3416.741558
2019,Early Stuart,13052.41583,RS8yr,4,3416.741558
2019,Early Stuart,27559.22233,LarkinBasic,4,3416.741558
2019,Early Stuart,28530.10568,LarkinBasicCycAge,4,3416.741558
2019,Early Stuart,31224.69593,PowerBasic,4,3416.741558
2019,Early Stuart,32125.77769,PowerBasicCycAge,4,3416.741558
2019,Early Stuart,18939.90836,PowerChum,4,3416.741558
2019,Early Stuart,15119.28779,PowerPink,4,3416.741558
2019,Early Stuart,14263.2487,PowerSalmon_Total,4,3416.741558
2019,Early Stuart,17094.89533,PowerSockeye,4,3416.741558
2019,Early Stuart,23363.54662,RickerBasic,4,3416.741558
2019,Early Stuart,16554.8856,RickerChum,4,3416.741558
2019,Early Stuart,26137.33579,RickerCyc,4,3416.741558
2019,Early Stuart,25629.68091,RickerEi,4,3416.741558
2019,Early Stuart,23987.05208,RickerFRDMean,4,3416.741558
2019,Early Stuart,26105.13214,RickerFRDpeak,4,3416.741558
2019,Early Stuart,21936.8851,RickerGOA.SST.Ann,4,3416.741558
2019,Early Stuart,21161.62256,RickerGOA.SST.Sum,4,3416.741558
2019,Early Stuart,24427.46719,RickerGOA.SST.Win,4,3416.741558
2019,Early Stuart,23376.12548,RickerNPGO.Ann,4,3416.741558
2019,Early Stuart,23292.9468,RickerNPGO.Sum,4,3416.741558
2019,Early Stuart,24949.286,RickerNPGO.Win,4,3416.741558
2019,Early Stuart,16806.43865,RickerPDO,4,3416.741558
2019,Early Stuart,9727.30342,RickerPi,4,3416.741558
2019,Early Stuart,12513.35583,RickerPink,4,3416.741558
2019,Early Stuart,7524.354544,RickerSalmon_Total,4,3416.741558
2019,Early Stuart,14377.70274,RickerSockeye,4,3416.741558
2019,Early Stuart,16810.34868,LLY,5,22500.01969
2019,Early Stuart,5100.57664,R1C,5,22500.01969
2019,Early Stuart,4780.103902,R2C,5,22500.01969
2019,Early Stuart,27275.62565,RAC,5,22500.01969
2019,Early Stuart,51776.05362,TSA,5,22500.01969
2019,Early Stuart,28253.40081,RS1,5,22500.01969
2019,Early Stuart,18058.94797,RS2,5,22500.01969
2019,Early Stuart,27737.50245,RSC,5,22500.01969
2019,Early Stuart,39198.18264,MRS,5,22500.01969
2019,Early Stuart,17733.36516,RS4yr,5,22500.01969
2019,Early Stuart,15340.77387,RS8yr,5,22500.01969
2019,Early Stuart,16225.33189,LarkinBasic,5,22500.01969
2019,Early Stuart,15429.60235,LarkinBasicCycAge,5,22500.01969
2019,Early Stuart,13521.85272,PowerBasic,5,22500.01969
2019,Early Stuart,13342.62112,PowerBasicCycAge,5,22500.01969
2019,Early Stuart,6241.457057,PowerChum,5,22500.01969
2019,Early Stuart,9692.643762,PowerPink,5,22500.01969
2019,Early Stuart,8377.363685,PowerSalmon_Total,5,22500.01969
2019,Early Stuart,8283.310716,PowerSockeye,5,22500.01969
2019,Early Stuart,14845.70314,RickerBasic,5,22500.01969
